V1	V2	study
definition	AML	target_test_v6
definition	ALL	target_test_v6
definition	NBL	target_test_v6
definition	WT	target_test_v6
definition	RT	target_test_v6
Cancer.Type	AML	target_test_v6
Cancer.Type	ALL	target_test_v6
Cancer.Type	NBL	target_test_v6
Cancer.Type	WT	target_test_v6
Cancer.Type	RT	target_test_v6
Cancer.Type.Detail	AML	target_test_v6
Cancer.Type.Detail	ALL	target_test_v6
Cancer.Type.Detail	NBL	target_test_v6
Cancer.Type.Detail	WT	target_test_v6
Cancer.Type.Detail	RT	target_test_v6
ALL.CNS.Status.at.Diagnosis	ALL	target_test_v6
AML.Risk.group	AML	target_test_v6
AML.Induction.Failure	AML	target_test_v6
NBL.INSS.Stage	NBL	target_test_v6
NBL.MYCN.Status	NBL	target_test_v6
NBL.MKI	NBL	target_test_v6
NBL.COG.Risk.Group	NBL	target_test_v6
RT.Stage	RT	target_test_v6
WT.Stage	WT	target_test_v6
